i ',' A ',' A_err ',' b ',' b_err ',' c ',' c_err ',' chi2 ',' Fidelity ',' Fidelity_err ','
0,0.394759182,0.04098418,-0.569349947,0.039344733,0.995099915,0.000554576,1.220091319,99.86933106,0.029577387,
431,0.489330474,0.012672598,-0.478041894,0.011834874,0.992239443,0.000449828,0.578607924,99.7930518,0.023990846,
862,0.488723867,0.011300017,-0.493924462,0.010498688,0.990780381,0.000506462,0.777848609,99.7541435,0.027011296,
1293,0.470518199,0.008848108,-0.498514249,0.008506222,0.989866533,0.000525083,0.678076746,99.72977422,0.028004411,
1724,0.487657793,0.004271254,-0.486406943,0.004987884,0.9857781,0.000478427,0.331891252,99.62074933,0.025516089,
2155,0.478787694,0.002727883,-0.495066572,0.00322479,0.984903045,0.000317836,0.140289225,99.59741454,0.016951269,
2586,0.487100061,0.005132987,-0.404085493,0.026761811,0.970144336,0.003228516,0.991104232,99.20384896,0.172187543,
3017,0.479438957,0.003702551,-0.466426886,0.023093514,0.961563736,0.00328159,0.560551082,98.97503295,0.17501815,
3448,0.465008906,0.002868314,-0.462307593,0.013810494,0.974010904,0.001310075,0.237683266,99.30695744,0.06987066,
3879,0.459159734,0.002196594,-0.519315339,0.006184402,0.963356183,0.00138699,0.142475099,99.02283155,0.073972812,
4311,0.454805914,0.002346568,-0.529209676,0.005845116,0.958539548,0.001561024,0.147844865,98.89438794,0.083254637,
4742,0.45085704,0.002126794,-0.514071659,0.006556475,0.951292327,0.001986437,0.118742456,98.70112873,0.105943331,
5173,0.443915443,0.001747535,-0.535801496,0.006111854,0.938681544,0.002455839,0.0878076,98.36484118,0.130978055,
5604,0.43848382,0.00197257,-0.520731865,0.012683048,0.941515846,0.002771012,0.11301678,98.44042257,0.147787286,
6035,0.427123306,0.001347647,-0.511427537,0.00972048,0.950254982,0.001684422,0.052451474,98.67346619,0.089835841,
6466,0.420244995,0.00143746,-0.538941158,0.006744332,0.947683094,0.001579066,0.053144269,98.60488252,0.084216829,
6897,0.415266641,0.001421284,-0.544882128,0.008674283,0.941255324,0.001870687,0.054337868,98.43347531,0.099769967,
7328,0.404825328,0.00172111,-0.535946929,0.011377591,0.940526979,0.002265325,0.085545066,98.41405276,0.12081731,
7759,0.403202053,0.001700794,-0.553183988,0.009555706,0.941956601,0.002351134,0.088962915,98.45217602,0.1253938,
8191,0.395661058,0.001860601,-0.567037687,0.00956434,0.935129144,0.002733033,0.088506247,98.27011052,0.145761739,
